timestamp,ball_number,team_1_name,team_1_runs,team_1_wickets,team_2_name,team_2_runs,team_2_wickets
2025-05-27 07:23:12,3.6,Lucknow Super Giants,44,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:23:38,3.6,Lucknow Super Giants,44,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:24:01,4.1,Lucknow Super Giants,45,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:24:26,4.1,Lucknow Super Giants,45,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:24:50,4.2,Lucknow Super Giants,45,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:25:14,4.3,Lucknow Super Giants,46,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:25:37,4.3,Lucknow Super Giants,46,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:26:02,4.4,Lucknow Super Giants,48,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:26:25,4.4,Lucknow Super Giants,48,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:26:48,4.5,Lucknow Super Giants,48,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:27:12,4.6,Lucknow Super Giants,48,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:27:35,4.6,Lucknow Super Giants,48,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:27:58,4.6,Lucknow Super Giants,48,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:28:22,4.6,Lucknow Super Giants,48,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:28:46,5.1,Lucknow Super Giants,48,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:29:09,5.1,Lucknow Super Giants,48,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:29:32,5.1,Lucknow Super Giants,48,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:29:56,5.2,Lucknow Super Giants,48,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:30:19,5.2,Lucknow Super Giants,48,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:30:42,5.3,Lucknow Super Giants,48,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:31:05,5.4,Lucknow Super Giants,49,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:31:28,5.4,Lucknow Super Giants,49,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:31:51,5.4,Lucknow Super Giants,49,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:32:14,5.5,Lucknow Super Giants,49,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:32:37,5.5,Lucknow Super Giants,50,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:33:01,5.5,Lucknow Super Giants,54,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:33:24,5.5,Lucknow Super Giants,54,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:33:48,5.6,Lucknow Super Giants,55,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:34:11,5.6,Lucknow Super Giants,55,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:34:37,5.6,Lucknow Super Giants,55,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:35:01,5.6,Lucknow Super Giants,55,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:35:24,5.6,Lucknow Super Giants,55,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:35:48,5.6,Lucknow Super Giants,55,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:36:11,5.6,Lucknow Super Giants,55,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:36:34,5.6,Lucknow Super Giants,55,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:36:58,5.6,Lucknow Super Giants,55,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:37:21,6.1,Lucknow Super Giants,56,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:37:44,6.1,Lucknow Super Giants,56,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:38:08,6.2,Lucknow Super Giants,56,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:38:31,6.2,Lucknow Super Giants,56,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:38:54,6.2,Lucknow Super Giants,56,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:39:17,6.3,Lucknow Super Giants,57,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:39:41,6.4,Lucknow Super Giants,58,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:40:06,6.4,Lucknow Super Giants,58,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:40:32,6.5,Lucknow Super Giants,64,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:40:58,6.5,Lucknow Super Giants,64,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:41:23,6.6,Lucknow Super Giants,68,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:41:48,6.6,Lucknow Super Giants,68,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:42:11,6.6,Lucknow Super Giants,68,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:42:35,7.1,Lucknow Super Giants,69,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:43:01,7.1,Lucknow Super Giants,69,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:43:25,7.2,Lucknow Super Giants,70,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:43:50,7.2,Lucknow Super Giants,70,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:44:13,7.3,Lucknow Super Giants,71,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:44:36,7.4,Lucknow Super Giants,72,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:44:59,7.5,Lucknow Super Giants,73,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:45:22,7.5,Lucknow Super Giants,73,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:45:47,7.6,Lucknow Super Giants,74,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:46:11,7.6,Lucknow Super Giants,74,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:46:33,7.6,Lucknow Super Giants,74,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:46:57,7.6,Lucknow Super Giants,74,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:47:20,8.1,Lucknow Super Giants,74,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:47:43,8.2,Lucknow Super Giants,75,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:48:07,8.3,Lucknow Super Giants,81,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:48:30,8.3,Lucknow Super Giants,81,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:48:55,8.3,Lucknow Super Giants,81,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:49:19,8.4,Lucknow Super Giants,82,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:50:06,8.5,Lucknow Super Giants,83,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:50:35,8.5,Lucknow Super Giants,83,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:50:59,8.6,Lucknow Super Giants,84,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:51:23,8.6,Lucknow Super Giants,84,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:51:47,8.6,Lucknow Super Giants,84,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:52:12,8.6,Lucknow Super Giants,84,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:52:35,8.6,Lucknow Super Giants,84,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:53:04,9.1,Lucknow Super Giants,90,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:53:27,9.1,Lucknow Super Giants,90,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:53:56,9.1,Lucknow Super Giants,90,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:54:21,9.3,Lucknow Super Giants,92,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:54:47,9.3,Lucknow Super Giants,92,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:55:12,9.4,Lucknow Super Giants,96,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:55:35,9.4,Lucknow Super Giants,96,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:56:00,9.5,Lucknow Super Giants,100,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:56:28,9.5,Lucknow Super Giants,100,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:56:55,9.5,Lucknow Super Giants,100,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:57:19,9.6,Lucknow Super Giants,100,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:57:43,9.6,Lucknow Super Giants,100,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:58:11,10.1,Lucknow Super Giants,104,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:58:37,10.1,Lucknow Super Giants,104,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:59:01,10.2,Lucknow Super Giants,105,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:59:25,10.2,Lucknow Super Giants,105,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 07:59:49,10.2,Lucknow Super Giants,107,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:00:11,10.2,Lucknow Super Giants,107,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:00:35,10.3,Lucknow Super Giants,108,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:00:58,10.3,Lucknow Super Giants,108,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:01:21,10.4,Lucknow Super Giants,109,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:01:45,10.4,Lucknow Super Giants,109,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:02:08,10.5,Lucknow Super Giants,110,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:02:33,10.5,Lucknow Super Giants,110,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:02:58,10.6,Lucknow Super Giants,114,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:03:24,10.6,Lucknow Super Giants,114,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:03:48,10.6,Lucknow Super Giants,114,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:04:12,11.1,Lucknow Super Giants,115,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:04:35,11.1,Lucknow Super Giants,115,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:04:59,11.2,Lucknow Super Giants,115,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:05:24,11.3,Lucknow Super Giants,116,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:05:47,11.3,Lucknow Super Giants,116,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:06:11,11.3,Lucknow Super Giants,116,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:06:35,11.4,Lucknow Super Giants,120,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:06:58,11.5,Lucknow Super Giants,126,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:07:22,11.5,Lucknow Super Giants,126,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:07:50,11.6,Lucknow Super Giants,127,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:08:14,11.6,Lucknow Super Giants,127,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:08:40,11.6,Lucknow Super Giants,127,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:09:07,11.6,Lucknow Super Giants,127,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:09:30,12.1,Lucknow Super Giants,128,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:09:57,12.1,Lucknow Super Giants,128,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:10:21,12.2,Lucknow Super Giants,128,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:10:44,12.3,Lucknow Super Giants,129,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:11:07,12.3,Lucknow Super Giants,129,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:11:31,12.4,Lucknow Super Giants,130,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:11:55,12.4,Lucknow Super Giants,130,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:12:19,12.5,Lucknow Super Giants,131,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:12:42,12.5,Lucknow Super Giants,131,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:13:10,12.5,Lucknow Super Giants,131,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:13:34,12.6,Lucknow Super Giants,131,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:13:58,12.6,Lucknow Super Giants,131,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:14:24,12.6,Lucknow Super Giants,131,1,Royal Challengers Bengaluru,N/A,N/A
2025-05-27 08:14:47,12.6,Lucknow Super Giants,131,1,Royal Challengers Bengaluru,N/A,N/A
