timestamp,ball_number,team_1_name,team_1_runs,team_1_wickets,team_2_name,team_2_runs,team_2_wickets
2025-05-25 03:28:55,4.6,Chennai Super Kings,57,1,Gujarat Titans,N/A,N/A
2025-05-25 03:29:22,5.1,Chennai Super Kings,57,1,Gujarat Titans,N/A,N/A
2025-05-25 03:29:50,5.1,Chennai Super Kings,57,1,Gujarat Titans,N/A,N/A
2025-05-25 03:30:49,5.2,Chennai Super Kings,59,1,Gujarat Titans,N/A,N/A
2025-05-25 03:31:16,5.3,Chennai Super Kings,59,1,Gujarat Titans,N/A,N/A
2025-05-25 03:31:42,5.3,Chennai Super Kings,59,1,Gujarat Titans,N/A,N/A
2025-05-25 03:32:12,5.4,Chennai Super Kings,60,1,Gujarat Titans,N/A,N/A
2025-05-25 03:32:40,5.5,Chennai Super Kings,64,1,Gujarat Titans,N/A,N/A
2025-05-25 03:33:05,5.5,Chennai Super Kings,64,1,Gujarat Titans,N/A,N/A
2025-05-25 03:33:30,5.6,Chennai Super Kings,68,1,Gujarat Titans,N/A,N/A
2025-05-25 03:33:57,5.6,Chennai Super Kings,68,1,Gujarat Titans,N/A,N/A
2025-05-25 03:34:22,5.6,Chennai Super Kings,68,1,Gujarat Titans,N/A,N/A
2025-05-25 03:35:15,6.1,Chennai Super Kings,68,1,Gujarat Titans,N/A,N/A
2025-05-25 03:35:40,6.2,Chennai Super Kings,69,1,Gujarat Titans,N/A,N/A
2025-05-25 03:36:06,6.3,Chennai Super Kings,73,1,Gujarat Titans,N/A,N/A
2025-05-25 03:36:56,6.4,Chennai Super Kings,74,1,Gujarat Titans,N/A,N/A
2025-05-25 03:37:23,6.5,Chennai Super Kings,78,1,Gujarat Titans,N/A,N/A
2025-05-25 03:37:49,6.6,Chennai Super Kings,82,1,Gujarat Titans,N/A,N/A
2025-05-25 03:38:13,6.6,Chennai Super Kings,82,1,Gujarat Titans,N/A,N/A
2025-05-25 03:38:41,6.6,Chennai Super Kings,82,1,Gujarat Titans,N/A,N/A
2025-05-25 03:39:06,6.6,Chennai Super Kings,82,1,Gujarat Titans,N/A,N/A
2025-05-25 03:39:34,6.6,Chennai Super Kings,82,1,Gujarat Titans,N/A,N/A
2025-05-25 03:40:03,6.6,Chennai Super Kings,82,1,Gujarat Titans,N/A,N/A
2025-05-25 03:41:00,6.6,Chennai Super Kings,82,1,Gujarat Titans,N/A,N/A
2025-05-25 03:41:26,6.6,Chennai Super Kings,82,1,Gujarat Titans,N/A,N/A
2025-05-25 03:41:54,6.6,Chennai Super Kings,82,1,Gujarat Titans,N/A,N/A
2025-05-25 03:42:19,7.1,Chennai Super Kings,83,1,Gujarat Titans,N/A,N/A
2025-05-25 03:42:45,7.2,Chennai Super Kings,84,1,Gujarat Titans,N/A,N/A
2025-05-25 03:43:10,7.3,Chennai Super Kings,84,1,Gujarat Titans,N/A,N/A
2025-05-25 03:43:36,7.3,Chennai Super Kings,84,1,Gujarat Titans,N/A,N/A
2025-05-25 03:44:01,7.4,Chennai Super Kings,86,1,Gujarat Titans,N/A,N/A
2025-05-25 03:44:28,7.5,Chennai Super Kings,87,1,Gujarat Titans,N/A,N/A
2025-05-25 03:45:24,7.6,Chennai Super Kings,91,1,Gujarat Titans,N/A,N/A
2025-05-25 03:45:49,8.1,Chennai Super Kings,92,1,Gujarat Titans,N/A,N/A
2025-05-25 03:46:14,8.1,Chennai Super Kings,92,1,Gujarat Titans,N/A,N/A
2025-05-25 03:46:41,8.2,Chennai Super Kings,93,1,Gujarat Titans,N/A,N/A
2025-05-25 03:47:31,8.4,Chennai Super Kings,96,1,Gujarat Titans,N/A,N/A
2025-05-25 03:47:56,8.5,Chennai Super Kings,100,1,Gujarat Titans,N/A,N/A
2025-05-25 03:48:22,8.6,Chennai Super Kings,101,1,Gujarat Titans,N/A,N/A
2025-05-25 03:48:49,8.6,Chennai Super Kings,101,1,Gujarat Titans,N/A,N/A
2025-05-25 03:49:17,8.6,Chennai Super Kings,101,1,Gujarat Titans,N/A,N/A
2025-05-25 03:49:42,9.1,Chennai Super Kings,107,1,Gujarat Titans,N/A,N/A
